date,ticker,signal,signal_prob,actual_ret,strategy_ret,strategy_cum
2023-11-03,JPM,1,0.5413189,,,1.0
2023-11-03,PFE,0,0.47685316,-0.8031961241774429,-0.8031961241774429,0.1968038758225571
2023-11-03,COP,1,0.5918314,3.1697249580371647,0.0,0.1968038758225571
2023-11-03,XOM,1,0.5434228,-0.10973450756507008,-0.10973450756507008,0.1752076994222716
2023-11-06,ABBV,1,0.53152645,0.3084866199271108,0.3084866199271108,0.22925693040225337
2023-11-06,MCD,1,0.5109088,0.9585412668398596,0.9585412668398596,0.44900915890184684
2023-11-06,GOOGL,1,0.5076546,-0.49064302768733903,-0.49064302768733903,0.22870594571889918
2023-11-06,UNH,1,0.5192133,2.9241342905480225,2.9241342905480225,0.897472844047747
2023-11-06,GS,1,0.5567645,-0.3967778294903769,-0.3967778294903769,0.5413755169599265
2023-11-06,MSFT,1,0.5293212,0.14386236050229595,0.14386236050229595,0.6192590767479322
2023-11-06,BAC,1,0.51173747,-0.923846365655822,-0.923846365655822,0.04715882929497529
2023-11-06,JNJ,1,0.52386284,4.285664080591375,4.285664080591375,0.24926573008719116
2023-11-06,AAPL,1,0.5234733,0.25823687895300407,0.25823687895300407,0.31363533425484935
2023-11-06,SLB,0,0.48434862,-0.7017656531426096,-0.7017656531426096,0.0935368290628943
2023-11-06,MS,1,0.56454384,0.3413096815460739,0.0,0.0935368290628943
2023-11-06,TSLA,0,0.42594254,2.094154362787497,2.094154362787497,0.28941738772626274
2023-11-06,XOM,0,0.47340906,-0.5566626321261003,-0.0,0.28941738772626274
2023-11-06,HD,1,0.5533143,1.847545352674306,0.0,0.28941738772626274
2023-11-06,JPM,1,0.52186525,-0.5069379391197524,-0.5069379391197524,0.1427007336468888
2023-11-06,CVX,1,0.5533997,-0.032887188266480516,-0.032887188266480516,0.13800770775367865
2023-11-06,PFE,0,0.464336,-0.7985459682079705,-0.7985459682079705,0.02780220914535469
2023-11-06,NVDA,1,0.5191103,0.7193254545895349,0.0,0.02780220914535469
2023-11-06,AMZN,1,0.52245486,2.056495515340924,2.056495515340924,0.08497732756934705
2023-11-06,COP,1,0.5313327,-0.2130062554044272,-0.2130062554044272,0.06687662522952503
2023-11-07,PFE,0,0.43113077,-0.7576624332906289,-0.7576624332906289,0.016206718627857636
2023-11-07,JPM,0,0.4455136,4.118726872884816,0.0,0.016206718627857636
2023-11-07,MS,1,0.5135249,-0.48333281694805563,-0.0,0.016206718627857636
2023-11-07,MCD,0,0.45139262,2.5950698683556217,2.5950698683556217,0.058264285803928756
2023-11-07,UNH,0,0.44162396,1.0169592263177227,0.0,0.058264285803928756
2023-11-07,GOOGL,0,0.48013124,-0.7458400745441827,-0.0,0.058264285803928756
2023-11-07,BAC,0,0.41372293,-0.7961656034360125,-0.0,0.058264285803928756
2023-11-07,NVDA,0,0.433712,0.7344212837565265,0.0,0.058264285803928756
2023-11-07,COP,0,0.45631728,1.3296754305593512,0.0,0.058264285803928756
2023-11-07,CVX,1,0.504321,0.2120434772128863,0.0,0.058264285803928756
2023-11-07,SLB,0,0.4708861,-0.615282230724497,-0.615282230724497,0.02241530606291783
2023-11-07,TSLA,0,0.37182254,3.453688883233717,0.0,0.02241530606291783
2023-11-07,ABBV,0,0.471767,-0.4132058649573086,-0.0,0.02241530606291783
2023-11-07,HD,0,0.46382093,1.1246541361171372,0.0,0.02241530606291783
2023-11-07,AMZN,1,0.518486,-0.4848004548780237,-0.0,0.02241530606291783
2023-11-07,AAPL,0,0.4255302,0.2592937632709813,0.2592937632709813,0.02822745512684264
2023-11-07,GS,0,0.47398478,0.7017525880422577,0.0,0.02822745512684264
2023-11-07,JNJ,0,0.46644658,-0.5420544581303965,-0.0,0.02822745512684264
